"start","deviceid","simserial","collector_date:Collector","collector_date:date_time","coordinates:Latitude","coordinates:Longitude","coordinates:Altitude","coordinates:Accuracy","build_colour","build_colour_other","lot_num_grd_elv:lot_number","lot_num_grd_elv:ground_elevated","building_use","building_use_other","points_interest","points_interest_other","addit_comments","meta:instanceID"
"Sat Jul 29 04:06:39 UTC 2017","861117036175362","89610180001842434052","Pam","Sat Jul 29 04:06:00 UTC 2017","-12.501567999999999","135.80504299999998","0.0","0.0","yellow",,"112","ground","residential",,,,,"uuid:16a021c9-3a1f-437d-a831-ad2a2c4ce01d"
"Sat Jul 29 04:07:32 UTC 2017","861117036175362","89610180001842434052","Pam","Sat Jul 29 04:07:00 UTC 2017","-12.501598999999999","135.80531399999998","0.0","0.0","yellow",,"113","ground","residential",,,,,"uuid:84629e7e-867f-4fd7-9c6d-68cb3082ecb5"
"Sat Jul 29 04:08:27 UTC 2017","861117036175362","89610180001842434052","Pam","Sat Jul 29 04:08:00 UTC 2017","-12.501583","135.805555","0.0","0.0","yellow",,"114","ground","residential",,,,,"uuid:c51b90f8-ae24-4cc1-aa1d-6055cfc8ea19"
"Sat Jul 29 04:09:53 UTC 2017","861117036175362","89610180001842434052","Pam","Sat Jul 29 04:09:00 UTC 2017","-12.501306","135.80668699999998","0.0","0.0","d_green",,"150 a & b","elevated","residential",,"other","Duplex",,"uuid:969c467d-89d6-430a-a6fe-a309bd4d724b"
"Sat Jul 29 04:11:41 UTC 2017","861117036175362","89610180001842434052","Pam","Sat Jul 29 04:11:00 UTC 2017","-12.501353","135.807108","0.0","0.0","d_green",,"151 a & b","elevated","residential",,"other","Duplex",,"uuid:132cde73-68bd-45b3-bbed-34e4f83b7b4b"
"Sat Jul 29 04:12:47 UTC 2017","861117036175362","89610180001842434052","Pam","Sat Jul 29 04:12:00 UTC 2017","-12.501308","135.806288","0.0","0.0","other","2 buildings different colour, dark blue & dark green","149","elevated","residential",,"other","Duplex",,"uuid:6f236d3f-c1f8-4e72-a760-e0229b2614ff"
"Sat Jul 29 04:17:19 UTC 2017","861117036175362","89610180001842434052","Pam","Sat Jul 29 04:17:00 UTC 2017","-12.501285","135.807529","0.0","0.0","d_green",,"152","elevated","residential",,"oval",,,"uuid:2dd091d0-6b86-467a-9e41-66c1f4ebee2a"
"Sat Jul 29 04:18:26 UTC 2017","861117036175362","89610180001842434052","Pam","Sat Jul 29 04:18:00 UTC 2017","-12.501349999999999","135.807849","0.0","0.0","l_blue",,"161 a & b","ground","residential",,"other","Duplex",,"uuid:0ac86acc-d733-49c5-81df-7f58c31feacb"
"Sat Jul 29 04:19:33 UTC 2017","861117036175362","89610180001842434052","Pam","Sat Jul 29 04:19:00 UTC 2017","-12.5019","135.803729","0.0","0.0","l_green",,"108","ground","residential",,,,,"uuid:b0bc8867-3564-4fdb-ba2c-d8fc15b99d28"
"Sat Jul 29 04:21:47 UTC 2017","861117036175362","89610180001842434052","Pam","Sat Jul 29 04:21:00 UTC 2017","-12.501980999999999","135.80410999999998","0.0","0.0","other","Pink","105","ground","residential",,,,,"uuid:16f5cf01-a675-4e0d-8543-34e16f79cb14"
"Sat Jul 29 04:23:28 UTC 2017","861117036175362","89610180001842434052","Pam","Sat Jul 29 04:23:00 UTC 2017","-12.501945","135.80454699999999","0.0","0.0","grey",,"104","ground","residential",,,,,"uuid:892f6dbb-c664-4b18-a12f-1ade387077ba"
"Sat Jul 29 04:24:48 UTC 2017","861117036175362","89610180001842434052","Pam","Sat Jul 29 04:24:00 UTC 2017","-12.50227","135.803608","0.0","0.0","red",,"102","ground","comercial_services",,"other","Petrol Bowser",,"uuid:e15c7c64-13ed-4128-b118-7eaac397b9bc"
"Sat Jul 29 04:26:07 UTC 2017","861117036175362","89610180001842434052","Pam","Sat Jul 29 04:26:00 UTC 2017","-12.502194","135.80446899999998","0.0","0.0","red",,"103","ground","residential",,"other","Petrol Bowser next door",,"uuid:0353acf6-879d-42e0-b839-cba2989bf09f"
"Sat Jul 29 04:27:19 UTC 2017","861117036175362","89610180001842434052","Pam","Sat Jul 29 04:27:00 UTC 2017","-12.502016","135.804963","0.0","0.0","l_blue",,"117","ground","residential",,,,,"uuid:99dc901e-3057-477f-882d-6144535bbe2a"
"Sat Jul 29 04:28:36 UTC 2017","861117036175362","89610180001842434052","Pam","Sat Jul 29 04:28:00 UTC 2017","-12.501994999999999","135.805293","0.0","0.0","d_green",,"116 a & b","ground","residential",,"other","Duplex",,"uuid:529b0d7a-3bd8-4d1c-9821-56741adcac73"
"Sat Jul 29 04:29:46 UTC 2017","861117036175362","89610180001842434052","Pam","Sat Jul 29 04:29:00 UTC 2017","-12.502056999999999","135.805625","0.0","0.0","yellow",,"115","ground","residential",,,,,"uuid:56c96569-9ab8-4055-93ce-f7b73cb798aa"
"Sat Jul 29 04:31:08 UTC 2017","861117036175362","89610180001842434052","Pam","Sat Jul 29 04:31:00 UTC 2017","-12.502243","135.804928","0.0","0.0","grey",,"118","ground","residential",,,,,"uuid:71bd25a6-b373-4bf6-b952-03da484302f5"
"Sat Jul 29 04:32:09 UTC 2017","861117036175362","89610180001842434052","Pam","Sat Jul 29 04:32:00 UTC 2017","-12.502253999999999","135.805255","0.0","0.0","d_green",,"119","elevated","residential",,"other","Opposite clinic",,"uuid:813d284d-5cc9-4c3c-b81f-8ceec9c8755f"
"Sat Jul 29 04:34:06 UTC 2017","861117036175362","89610180001842434052","Pam","Sat Jul 29 04:34:00 UTC 2017","-12.502277","135.805593","0.0","0.0","yellow",,"120","ground","residential",,"other","Opposite clinic",,"uuid:52266424-db18-481c-87dc-623538ddeb37"
"Sat Jul 29 04:35:04 UTC 2017","861117036175362","89610180001842434052","Pam","Sat Jul 29 04:35:00 UTC 2017","-12.501793","135.80625799999999","0.0","0.0","orange",,"268","ground","residential",,"other","Adjacent to contractors quarters",,"uuid:8bb7a623-d986-4b04-9d75-fda0c5e18d74"
"Sat Jul 29 04:37:08 UTC 2017","861117036175362","89610180001842434052","Pam","Sat Jul 29 04:37:00 UTC 2017","-12.501911","135.806221","0.0","0.0","orange",,"269","ground","residential",,"other","Adjacent to contractors quarters",,"uuid:15dca3af-8891-4fd9-810d-67967d641a94"
"Sat Jul 29 04:38:08 UTC 2017","861117036175362","89610180001842434052","Pam","Sat Jul 29 04:38:00 UTC 2017","-12.502084","135.80625","0.0","0.0","l_blue",,"265","ground","residential",,"other","Adjacent to contractors quarters",,"uuid:021fb388-af44-4e7f-8deb-02d29a80dc8c"
"Sat Jul 29 04:39:34 UTC 2017","861117036175362","89610180001842434052","Pam","Sat Jul 29 04:39:00 UTC 2017","-12.502277","135.806234","0.0","0.0","l_green",,"266","ground","residential",,"other","Field",,"uuid:2f24263a-1050-41b8-96c3-a12e4ae0aca0"
"Sat Jul 29 04:40:47 UTC 2017","861117036175362","89610180001842434052","Pam","Sat Jul 29 04:40:00 UTC 2017","-12.502457999999999","135.806218","0.0","0.0","orange",,"267","ground","residential",,"other","Field",,"uuid:5a013550-b323-47d1-97a3-193de1cbb2df"
"Sat Jul 29 04:41:57 UTC 2017","861117036175362","89610180001842434052","Pam","Sat Jul 29 04:42:00 UTC 2017","-12.502772","135.806162","0.0","0.0","d_green",,"122","elevated","residential",,"other","Field",,"uuid:d08b344e-710c-4199-b831-b2ac8192eebb"
"Sat Jul 29 04:42:52 UTC 2017","861117036175362","89610180001842434052","Pam","Sat Jul 29 04:43:00 UTC 2017","-12.503076","135.806127","0.0","0.0","grey",,"121","elevated","other","VOQ accommodation","other","Opposite shop",,"uuid:9039febe-95fb-4f2b-ae51-22fa5fac1f88"
"Sat Jul 29 04:44:10 UTC 2017","861117036175362","89610180001842434052","Pam","Sat Jul 29 04:44:00 UTC 2017","-12.50316","135.80660899999998","0.0","0.0","d_green",,"132","elevated","residential",,"other","Field",,"uuid:a00fd5da-4e4c-4e73-98d9-0863860d5b3c"
"Sat Jul 29 04:46:02 UTC 2017","861117036175362","89610180001842434052","Pam","Sat Jul 29 04:46:00 UTC 2017","-12.503039","135.806961","0.0","0.0","d_green",,"133","elevated","residential",,"other","Oval",,"uuid:25756f71-20a8-4a57-9fff-9e6a1d45c2c4"
"Sat Jul 29 04:47:27 UTC 2017","861117036175362","89610180001842434052","Pam","Sat Jul 29 04:47:00 UTC 2017","-12.502796","135.806974","0.0","0.0","red",,"134","ground","residential",,"oval",,,"uuid:55cd82bf-4fbd-499e-b950-bf251964a824"
"Sat Jul 29 04:48:22 UTC 2017","861117036175362","89610180001842434052","Pam","Sat Jul 29 04:48:00 UTC 2017","-12.502469","135.807087","0.0","0.0","other","Pink","136","ground","residential",,"oval",,,"uuid:a6f08c33-c643-4969-8a96-833aaee73a3b"
"Sat Jul 29 04:49:22 UTC 2017","861117036175362","89610180001842434052","Pam","Sat Jul 29 04:49:00 UTC 2017","-12.501835","135.8072","0.0","0.0","yellow",,"137","ground","residential",,"oval",,,"uuid:96310af8-cb0e-46f8-9812-79a335bc97ae"
"Sat Jul 29 04:52:10 UTC 2017","861117036175362","89610180001842434052","Pam","Sat Jul 29 04:52:00 UTC 2017","-12.501882","135.806848","0.0","0.0","grey",,,"elevated","other","Contractors Quarters",,,,"uuid:2359f0c1-bed2-469e-8319-7eed63757202"
"Sat Jul 29 04:53:31 UTC 2017","861117036175362","89610180001842434052","Pam","Sat Jul 29 04:53:00 UTC 2017","-12.502699","135.80542699999998","0.0","0.0","d_blue",,"96","elevated","health_centre",,,,,"uuid:b1a45e7a-6f55-4327-b9ca-6cfa00123802"
"Sat Jul 29 04:54:43 UTC 2017","861117036175362","89610180001842434052","Pam","Sat Jul 29 04:54:00 UTC 2017","-12.502696","135.804748","0.0","0.0","l_blue",,"262","ground","residential",,"other","Duplex 262 & 261",,"uuid:66f2eb27-af0d-4db0-adc2-7776f581f440"
"Sat Jul 29 04:55:50 UTC 2017","861117036175362","89610180001842434052","Pam","Sat Jul 29 04:55:00 UTC 2017","-12.502657","135.804579","0.0","0.0","l_blue",,"261","ground","residential",,"other","Duplex 262 & 261",,"uuid:4cb0e3f3-635b-4c48-bb39-6a7619b0900c"
"Sat Jul 29 04:57:06 UTC 2017","861117036175362","89610180001842434052","Pam","Sat Jul 29 04:57:00 UTC 2017","-12.502711999999999","135.804303","0.0","0.0","orange",,"99","ground","residential",,,,,"uuid:2393902e-2786-482a-9b02-dafb19b93856"
"Sat Jul 29 04:59:33 UTC 2017","861117036175362","89610180001842434052","Pam","Sat Jul 29 04:59:00 UTC 2017","-12.502675","135.80406399999998","0.0","0.0","l_blue",,"264","ground","residential",,"other","Duplex 263 & 264",,"uuid:e8aa5903-41e1-4223-bcee-0d0faa8d1260"
"Sat Jul 29 05:01:12 UTC 2017","861117036175362","89610180001842434052","Pam","Sat Jul 29 05:01:00 UTC 2017","-12.502685999999999","135.803933","0.0","0.0","l_blue",,"263","ground","residential",,"other","Duplex 263 & 264",,"uuid:2f00b8f6-f32d-4e3c-add3-938ac6dc09ac"
"Sat Jul 29 05:02:20 UTC 2017","861117036175362","89610180001842434052","Pam","Sat Jul 29 05:02:00 UTC 2017","-12.503036999999999","135.805282","0.0","0.0","d_blue",,,"elevated","council_office",,"other","Centrelink and Medicare offices",,"uuid:bdb8167f-f23b-445b-8fcd-0a720d12e620"
"Sat Jul 29 05:03:29 UTC 2017","861117036175362","89610180001842434052","Pam","Sat Jul 29 05:03:00 UTC 2017","-12.503274999999999","135.80522","0.0","0.0","red",,,"ground","sport_rec",,,,,"uuid:b8dcdbda-5e3f-4295-b3ea-00f5be9c62b2"
"Sat Jul 29 05:04:44 UTC 2017","861117036175362","89610180001842434052","Pam","Sat Jul 29 05:04:00 UTC 2017","-12.503736","135.805252","0.0","0.0","d_blue",,,"elevated","other","Aged Care & Disabilities",,,,"uuid:65d33db1-8a79-485d-bb77-e6772171cba3"
"Sat Jul 29 05:06:21 UTC 2017","861117036175362","89610180001842434052","Pam","Sat Jul 29 05:06:00 UTC 2017","-12.503675","135.804533","0.0","0.0","yellow",,"91","ground","residential",,,,,"uuid:1ea72c22-5c83-46a4-8793-67302e785532"
"Sat Jul 29 05:07:30 UTC 2017","861117036175362","89610180001842434052","Pam","Sat Jul 29 05:07:00 UTC 2017","-12.503597","135.805952","0.0","0.0","red",,,"elevated","shop_main",,,,,"uuid:b1dbd391-b600-4ff2-a590-80779f6ac937"
"Sat Jul 29 05:08:14 UTC 2017","861117036175362","89610180001842434052","Pam","Sat Jul 29 05:08:00 UTC 2017","-12.503775","135.80642699999999","0.0","0.0","d_green",,,"elevated","arts_centre",,,,,"uuid:2bc51999-ed50-479a-b5ff-6a86bf2ad8d0"
"Sat Jul 29 05:08:59 UTC 2017","861117036175362","89610180001842434052","Pam","Sat Jul 29 05:09:00 UTC 2017","-12.503777999999999","135.806679","0.0","0.0","d_green",,"184","elevated","residential",,,,,"uuid:46e3ca02-3879-4f0f-9c1e-029998249298"
"Sat Jul 29 05:10:16 UTC 2017","861117036175362","89610180001842434052","Pam","Sat Jul 29 05:10:00 UTC 2017","-12.503841","135.806996","0.0","0.0","red",,"303","elevated","residential",,,,,"uuid:22e0dca6-90c6-4e63-b62c-440ab1d793ac"
"Sat Jul 29 05:12:44 UTC 2017","861117036175362","89610180001842434052","Pam","Sat Jul 29 05:12:00 UTC 2017","-12.503888","135.80734999999999","0.0","0.0","orange",,"304","ground","residential",,"other","Duplex",,"uuid:748c278d-38d0-4030-8f89-4b5572d0b8ad"
"Sat Jul 29 05:15:14 UTC 2017","861117036175362","89610180001842434052","Pam","Sat Jul 29 05:15:00 UTC 2017","-12.504071","135.807921","0.0","0.0","red",,"86","elevated","residential",,"oval",,,"uuid:d06ed273-53e3-4de5-9e90-4c426632cbb9"
"Sat Jul 29 05:16:24 UTC 2017","861117036175362","89610180001842434052","Pam","Sat Jul 29 05:16:00 UTC 2017","-12.504204999999999","135.808281","0.0","0.0","d_green",,"85","elevated","residential",,"oval",,,"uuid:6ab10db5-9e76-4508-b6d4-5d468522ab5d"
"Sat Jul 29 05:17:27 UTC 2017","861117036175362","89610180001842434052","Pam","Sat Jul 29 05:17:00 UTC 2017","-12.504328","135.808594","0.0","0.0","l_blue",,"84","ground","residential",,"oval",,,"uuid:05fc54c4-8de3-460b-be55-15f4bfdea139"
"Sat Jul 29 05:18:55 UTC 2017","861117036175362","89610180001842434052","Pam","Sat Jul 29 05:18:00 UTC 2017","-12.504197","135.80506699999998","0.0","0.0","d_green",,"309","elevated","residential",,,,,"uuid:33036b1e-f77a-4825-9507-82b49ed13585"
"Sat Jul 29 05:20:13 UTC 2017","861117036175362","89610180001842434052","Pam","Sat Jul 29 05:20:00 UTC 2017","-12.504194","135.804681","0.0","0.0","l_blue",,"308","ground","residential",,"other","Cemetery",,"uuid:1377a61e-300a-4c49-89f4-5d48adc97950"
"Sat Jul 29 05:21:27 UTC 2017","861117036175362","89610180001842434052","Pam","Sat Jul 29 05:21:00 UTC 2017","-12.504437999999999","135.804297","0.0","0.0","other","Graveyard",,,"other","Graveyard","other","Graveyard",,"uuid:6d2e2788-5a4c-4a84-ad6e-a483007cfaf7"
"Sat Jul 29 05:22:36 UTC 2017","861117036175362","89610180001842434052","Pam","Sat Jul 29 05:22:00 UTC 2017","-12.504493","135.80455999999998","0.0","0.0","l_blue",,"307","ground","residential",,"other","Near graves",,"uuid:4b3366e6-f3ab-4583-8035-fe729a1bc4d4"
"Sat Jul 29 05:23:42 UTC 2017","861117036175362","89610180001842434052","Pam","Sat Jul 29 05:23:00 UTC 2017","-12.503706999999999","135.804879","0.0","0.0","other","N/A","N/A",,"other","Hearing Ceremony Area","other","Hearing Ceremony Area",,"uuid:611e88fd-07e1-4856-89c9-585c87db367b"
"Sat Jul 29 05:25:12 UTC 2017","861117036175362","89610180001842434052","Pam","Sat Jul 29 05:25:00 UTC 2017","-12.504484999999999","135.804922","0.0","0.0","l_green",,"254","ground","residential",,"other","Duplex",,"uuid:d583b1d4-0851-4e74-97c0-e690ef2b4d04"
"Sat Jul 29 05:26:35 UTC 2017","861117036175362","89610180001842434052","Pam","Sat Jul 29 05:26:00 UTC 2017","-12.504503999999999","135.804775","0.0","0.0","l_green",,"253","ground","residential",,"other","Duplex",,"uuid:2faff39d-3abd-46ad-a9dd-6c9a3e42f604"
"Sat Jul 29 05:27:24 UTC 2017","861117036175362","89610180001842434052","Pam","Sat Jul 29 05:27:00 UTC 2017","-12.504519","135.80508899999998","0.0","0.0","orange",,"255","ground","residential",,"other","Duplex 255 & 256",,"uuid:5d4fc7ce-5a22-4dd0-b0ec-7047e7c25bbe"
"Sat Jul 29 05:28:46 UTC 2017","861117036175362","89610180001842434052","Pam","Sat Jul 29 05:28:00 UTC 2017","-12.504548","135.80525799999998","0.0","0.0","orange",,"256","ground","residential",,"other","Duplex 255 & 256",,"uuid:8fa72c15-9c8e-479c-9b6e-1de16f7f7c17"
"Sat Jul 29 05:30:08 UTC 2017","861117036175362","89610180001842434052","Pam","Sat Jul 29 05:30:00 UTC 2017","-12.505077","135.804434","0.0","0.0","yellow",,"60","ground","residential",,,,,"uuid:f89b4e98-aeb5-4206-9ce2-686f8f6db24e"
"Sat Jul 29 05:31:21 UTC 2017","861117036175362","89610180001842434052","Pam","Sat Jul 29 05:31:00 UTC 2017","-12.505104999999999","135.80473999999998","0.0","0.0","other","Pink","59","ground","residential",,,,,"uuid:6592a66a-8ba1-4ae5-bc07-458d7ea60c08"
"Sat Jul 29 05:32:12 UTC 2017","861117036175362","89610180001842434052","Pam","Sat Jul 29 05:32:00 UTC 2017","-12.505084","135.805006","0.0","0.0","orange",,"58","ground","residential",,,,,"uuid:c32165a0-04b3-4304-8200-7ceba1e0543c"
"Sat Jul 29 05:33:01 UTC 2017","861117036175362","89610180001842434052","Pam","Sat Jul 29 05:33:00 UTC 2017","-12.505066999999999","135.805306","0.0","0.0","l_green",,"57","ground","residential",,,,,"uuid:8f9f1976-6f61-48f1-a284-67dc0063c828"
"Sat Jul 29 05:33:54 UTC 2017","861117036175362","89610180001842434052","Pam","Sat Jul 29 05:34:00 UTC 2017","-12.504265","135.806062","0.0","0.0","l_blue",,"257","ground","residential",,"other","Duplex 257 & 258",,"uuid:4f055642-0250-40ef-99a1-68d6047ffdfa"
"Sat Jul 29 05:37:26 UTC 2017","861117036175362","89610180001842434052","Pam","Sat Jul 29 05:37:00 UTC 2017","-12.504315","135.806207","0.0","0.0","l_blue",,"258","ground","residential",,"other","Duplex 257 & 258",,"uuid:a53b1f60-0499-44f7-8056-42832c5bcd71"
"Sat Jul 29 05:38:56 UTC 2017","861117036175362","89610180001842434052","Pam","Sat Jul 29 05:39:00 UTC 2017","-12.504354","135.806459","0.0","0.0","d_green",,"70","elevated","residential",,"other","Graves behind house",,"uuid:2bbafa64-5ac7-4d4d-aa35-e210143038cc"
"Sat Jul 29 05:41:04 UTC 2017","861117036175362","89610180001842434052","Pam","Sat Jul 29 05:41:00 UTC 2017","-12.504469","135.806835","0.0","0.0","d_green",,"71","elevated","residential",,"other","Graves behind house",,"uuid:703ba378-2201-4055-9805-72d337113b32"
"Sat Jul 29 05:42:22 UTC 2017","861117036175362","89610180001842434052","Pam","Sat Jul 29 05:42:00 UTC 2017","-12.504534999999999","135.80714899999998","0.0","0.0","orange",,"277","ground","residential",,"other","Duplex 277 & 278",,"uuid:ad75e755-909c-47d2-87f2-ea9c888e3120"
"Sat Jul 29 05:43:40 UTC 2017","861117036175362","89610180001842434052","Pam","Sat Jul 29 05:43:00 UTC 2017","-12.504537","135.80728299999998","0.0","0.0","orange",,"278","ground","residential",,"other","Duplex 277 & 278",,"uuid:d7c8423a-53d3-45dd-8884-64088c542c2f"
"Sat Jul 29 05:44:43 UTC 2017","861117036175362","89610180001842434052","Pam","Sat Jul 29 05:45:00 UTC 2017","-12.50459","135.80751899999998","0.0","0.0","d_green",,"295","elevated","residential",,,,,"uuid:3c0b048f-f39c-4285-9ad7-fff9c11abf4c"
"Sat Jul 29 05:46:35 UTC 2017","861117036175362","89610180001842434052","Pam","Sat Jul 29 05:46:00 UTC 2017","-12.504658","135.807894","0.0","0.0","yellow",,"76","ground","residential",,,,,"uuid:c3f8de0d-febe-4d29-a531-0619be9baa4d"
"Sat Jul 29 05:47:51 UTC 2017","861117036175362","89610180001842434052","Pam","Sat Jul 29 05:47:00 UTC 2017","-12.504755","135.808189","0.0","0.0","d_green",,"77","elevated","residential",,"other","School",,"uuid:915961b1-0d16-4f43-9f41-00c81344bf71"
"Sat Jul 29 05:48:59 UTC 2017","861117036175362","89610180001842434052","Pam","Sat Jul 29 05:49:00 UTC 2017","-12.504833","135.808412","0.0","0.0","l_blue",,"169","ground","residential",,"other","School",,"uuid:494c4b22-0e31-49da-bf0a-d41ef1b4b97a"
"Sat Jul 29 05:50:23 UTC 2017","861117036175362","89610180001842434052","Pam","Sat Jul 29 05:50:00 UTC 2017","-12.504982","135.80871199999999","0.0","0.0","yellow",,"80","ground","residential",,"other","School",,"uuid:f70cd4a7-9eff-4ae0-9079-39c7cb52d114"
"Sat Jul 29 05:51:14 UTC 2017","861117036175362","89610180001842434052","Pam","Sat Jul 29 05:51:00 UTC 2017","-12.504909","135.807645","0.0","0.0","l_blue",,"296","ground","residential",,"other","School",,"uuid:999ef7f6-69bd-4db3-8766-2288632179da"
"Sat Jul 29 05:52:29 UTC 2017","861117036175362","89610180001842434052","Pam","Sat Jul 29 05:52:00 UTC 2017","-12.504823","135.807229","0.0","0.0","l_blue",,"260","ground","residential",,"other","School",,"uuid:1fbd7fa8-b449-4047-8aec-d27ce7bc34eb"
"Sat Jul 29 05:53:26 UTC 2017","861117036175362","89610180001842434052","Pam","Sat Jul 29 05:53:00 UTC 2017","-12.504752","135.807041","0.0","0.0","l_blue",,"259","ground","residential",,"other","School",,"uuid:862672a5-9771-46e1-901e-ad2f847ba58c"
"Sat Jul 29 05:54:32 UTC 2017","861117036175362","89610180001842434052","Pam","Sat Jul 29 05:54:00 UTC 2017","-12.504676","135.806671","0.0","0.0","grey",,"75","ground","residential",,"other","Graves behind house",,"uuid:9fd9ec58-71ed-4053-989b-fcd0c4ca5a2a"
"Sat Jul 29 05:56:10 UTC 2017","861117036175362","89610180001842434052","Pam","Sat Jul 29 05:56:00 UTC 2017","-12.504591999999999","135.806221","0.0","0.0","d_green",,"68","elevated","residential",,"other","Graves behind",,"uuid:9f6af951-805f-4a3f-b7b3-4fce6caf1c25"
"Sat Jul 29 05:57:18 UTC 2017","861117036175362","89610180001842434052","Pam","Sat Jul 29 05:57:00 UTC 2017","-12.505158","135.80584199999998","0.0","0.0","d_blue",,"56","elevated","residential",,,,,"uuid:8a7e2453-3d1e-49f9-8208-53b3dbf456b3"
"Sat Jul 29 05:58:35 UTC 2017","861117036175362","89610180001842434052","Pam","Sat Jul 29 05:58:00 UTC 2017","-12.505213","135.806196","0.0","0.0","orange",,"279","ground","residential",,"other","Duplex 279 & 280",,"uuid:7ac7f719-08b1-4161-9833-96859c6dd6d8"
"Sat Jul 29 05:59:52 UTC 2017","861117036175362","89610180001842434052","Pam","Sat Jul 29 05:59:00 UTC 2017","-12.505255","135.806376","0.0","0.0","orange",,"280","ground","residential",,"other","Duplex 279 & 280",,"uuid:b4754345-a644-4e1e-9dde-f81643306a67"
"Sat Jul 29 06:00:49 UTC 2017","861117036175362","89610180001842434052","Pam","Sat Jul 29 06:00:00 UTC 2017","-12.505231","135.806966","0.0","0.0","l_green",,"281","ground","residential",,,,,"uuid:fb2b9619-2751-41ea-883c-262c6da2b260"
"Sat Jul 29 06:02:17 UTC 2017","861117036175362","89610180001842434052","Pam","Sat Jul 29 06:02:00 UTC 2017","-12.505581999999999","135.80724","0.0","0.0","l_blue",,"300","ground","residential",,"other","Graves",,"uuid:f184c9aa-5bbb-4b11-accf-79258881b220"
